Test_Depth,Size,Coded_Site,C,Si,Mn,S,Cr,Mo,Ni,Al,V,H_Temp,Coded_Cool,T_Temp,Imp_Temp,Charpy Energy
12.5,180,3,0.34,0.23,0.7,0.029,1.4,0.16,1.4,0.032,0.004,860,2,555,-20,37.3333
60.325,120.65,3,0.42,0.22,0.96,0.007,1.06,0.24,0.21,0.024,0.005,870,3,705,-32,78
12.5,178,3,0.355,0.21,0.66,0.032,1.38,0.19,1.3,0.03,0.005,850,2,550,-20,77.3333
25.4,107.95,3,0.42,0.27,0.95,0.01,1.07,0.24,0.16,0.023,0.005,860,3,705,-32,93.6667
31.75,127,3,0.26,0.26,0.82,0.028,1.06,0.18,0.21,0.029,0.004,870,3,635,-59,77.281
25.4,120.65,3,0.42,0.24,0.92,0.004,1.05,0.23,0.16,0.036,0.005,860,3,705,-32,97
25.4,139.7,4,0.42,0.26,0.9,0.017,1.05,0.23,0.12,0.026,0.005,860,3,690,-32,62.6667
12.5,240,2,0.41,0.26,0.81,0.025,1.03,0.17,0.28,0.026,0.005,860,3,620,20,88
25.4,95.25,2,0.42,0.27,0.95,0.018,1.08,0.24,0.18,0.024,0.005,860,3,690,-32,97.6667
25.4,127,4,0.42,0.18,0.93,0.01,1.06,0.23,0.22,0.022,0.005,860,3,690,-32,75.3333
25.4,190.5,4,0.43,0.28,1.06,0.018,1.16,0.32,0.21,0.017,0.005,870,3,690,23,120
25.4,152.4,4,0.42,0.26,0.9,0.017,1.05,0.23,0.12,0.026,0.005,860,3,690,-32,64
25.4,177.8,4,0.46,0.25,1.05,0.02,1.09,0.31,0.16,0.025,0.005,870,3,600,20,74
12.5,305,4,0.42,0.23,0.94,0.017,1.11,0.23,0.19,0.036,0.006,870,3,690,-32,94.6667
25.4,190,4,0.46,0.24,1,0.02,1.07,0.32,0.15,0.023,0.005,870,3,610,0,62.3667
25.4,88.9,3,0.42,0.24,0.93,0.013,1.05,0.23,0.18,0.024,0.005,860,3,705,-32,87.3333
12.7,100,6,0.24,0.38,1.42,0.019,0.18,0.03,0.11,0.028,0.16,960,3,600,20,29.3333
12.5,194,3,0.36,0.28,0.65,0.023,1.38,0.19,1.37,0.023,0.002,860,2,565,-20,36
